conversation_id,channel,customer_message,language,synthetic,annotator_1_label,annotator_2_label,annotator_3_label,adjudicated_intent,annotation_confidence,review_status,reviewer_id
CONV-00037,email,Just checking — Can I change the shipping address for ORD-103585? I placed the order earlier today. Thanks.,en,True,address_change,address_change,address_change,address_change,high,approved,
CONV-00038,email,"Hello, My discount code isn't working.",en,True,promo_code,promo_code,promo_code,promo_code,high,approved,
CONV-00039,chat,Please advise: Can you show me the latest tracking update for my shipment? I placed the order earlier today. I'd appreciate your help.,en,True,delivery_tracking,delivery_tracking,delivery_tracking,delivery_tracking,high,approved,
CONV-00040,mobile_app,"Could you help me? My delivery arrived, but the item inside is damaged. I’m trying to sort this out before the end of the day. Any guidance would be helpful.",en,True,damaged_item,damaged_item,damaged_item,damaged_item,high,approved,
CONV-00041,mobile_app,"Hi, How do I change the address attached to my order? I’m trying to sort this out before the end of the day. I'd appreciate your help.",en,True,address_change,address_change,address_change,address_change,high,approved,
CONV-00042,email,Just checking — Can you explain the latest recurring charge? I noticed this while reviewing my recent activity. I’d like to resolve this today.,en,True,subscription_billing,subscription_cancel,subscription_billing,subscription_billing,medium,adjudicated,REVIEWER-001
CONV-00043,email,Please advise: Would you mind checking the latest status of ORD-100029? I placed the order earlier today. I'd appreciate your help.,en,True,order_status,order_status,order_status,order_status,high,approved,
CONV-00044,email,Could you help me? I’m checking on ORD-100065. Could you tell me its current status? I placed the order earlier today. I’d like to resolve this today.,en,True,order_status,order_status,delivery_estimate,order_status,medium,adjudicated,REVIEWER-001
CONV-00045,chat,Please advise: What steps do I need to follow to return this product? I’m trying to sort this out before the end of the day. I'd appreciate your help.,en,True,return_request,return_request,return_request,return_request,high,approved,
CONV-00046,chat,Quick question: Please stop my recurring membership. I noticed this while reviewing my recent activity. I'd appreciate your help.,en,True,subscription_cancel,subscription_cancel,subscription_cancel,subscription_cancel,high,approved,
CONV-00047,mobile_app,I need some help. I don't want the subscription to continue after this billing period. This is my first time dealing with this issue.,en,True,subscription_cancel,subscription_cancel,subscription_cancel,subscription_cancel,high,approved,
CONV-00048,mobile_app,Quick question: Can you tell me more about this product's features? I noticed this while reviewing my recent activity. I'd appreciate your help.,en,True,product_information,product_information,product_information,product_information,high,approved,
CONV-00049,email,Could you help me? Can you send me through the password recovery process? I placed the order earlier today. I'd appreciate your help.,en,True,password_reset,password_reset,password_reset,password_reset,high,approved,
CONV-00050,mobile_app,"Please advise: I received the package, but one of the products is absent. I placed the order earlier today. I'd appreciate your help.",en,True,missing_item,missing_item,missing_item,missing_item,high,approved,
CONV-00051,mobile_app,Quick question: Can you tell me more about this product's features? I’m trying to sort this out before the end of the day. I’d like to resolve this today.,en,True,product_information,product_information,product_information,product_information,high,approved,
CONV-00052,chat,"Hello, Does this product come with the accessories shown? This is my first time dealing with this issue. Please let me know.",en,True,product_information,product_information,product_information,product_information,high,approved,
CONV-00053,email,"Hello, My package contains a different product.",en,True,wrong_item,damaged_item,wrong_item,wrong_item,medium,adjudicated,REVIEWER-001
CONV-00054,chat,Just checking — The login page won't let me access my account. I’m trying to sort this out before the end of the day. I'd appreciate your help.,en,True,account_access,account_access,account_access,account_access,high,approved,
CONV-00055,chat,I’m contacting support because When should the refund appear in my account? This is my first time dealing with this issue. Can you check?,en,True,refund_status,refund_status,order_cancellation,refund_status,medium,adjudicated,REVIEWER-001
CONV-00056,web_form,I’m contacting support because Where can I request a password reset? Thank you.,en,True,password_reset,password_reset,password_reset,password_reset,high,approved,
CONV-00057,mobile_app,"Quick question: The item was returned, but I haven't received the refund. I noticed this while reviewing my recent activity. Any guidance would be helpful.",en,True,refund_status,refund_status,refund_status,refund_status,high,approved,
CONV-00058,chat,I need some help. I placed ORD-100168 recently. What is happening with it?,en,True,order_status,order_status,order_status,order_status,high,approved,
CONV-00059,web_form,I’m contacting support because I see two charges for the same purchase. This is my first time dealing with this issue. Can you check?,en,True,duplicate_charge,duplicate_charge,duplicate_charge,duplicate_charge,high,approved,
CONV-00060,web_form,One product from my order is missing. Can you check?,en,True,missing_item,damaged_item,wrong_item,missing_item,low,escalated,REVIEWER-002
CONV-00061,mobile_app,I was sent the wrong model. I haven't changed anything on my account. Please let me know.,en,True,damaged_item,wrong_item,wrong_item,wrong_item,medium,adjudicated,REVIEWER-001
CONV-00062,email,"Hello, My discount code isn't working. This is my first time dealing with this issue.",en,True,promo_code,promo_code,promo_code,promo_code,high,approved,
CONV-00063,mobile_app,I wanted to check whether The promotional code says it is invalid. This is my first time dealing with this issue. Please let me know.,en,True,promo_code,promo_code,promo_code,promo_code,high,approved,
CONV-00064,chat,"Hi, How can I prevent the plan from renewing? I’m trying to sort this out before the end of the day. I’d like to resolve this today.",en,True,subscription_cancel,subscription_cancel,subscription_cancel,subscription_cancel,high,approved,
CONV-00065,mobile_app,Just checking — I placed ORD-100023 recently. What is happening with it? I placed the order earlier today. Thanks.,en,True,order_status,order_status,order_status,order_status,high,approved,
CONV-00066,email,Just checking — Part of ORD-102633 was not included in the delivery. I noticed this while reviewing my recent activity. Any guidance would be helpful.,en,True,missing_item,missing_item,missing_item,missing_item,high,approved,
CONV-00067,web_form,Quick question: I noticed a login I don't recognize. I placed the order earlier today. I'd appreciate your help.,en,True,account_security,account_security,account_security,account_security,high,approved,
CONV-00068,mobile_app,Quick question: The item arrived damaged. What should I do? I noticed this while reviewing my recent activity. Thanks.,en,True,damaged_item,damaged_item,damaged_item,damaged_item,high,approved,
CONV-00069,web_form,Please update the destination before the order ships.,en,True,address_change,address_change,address_change,address_change,high,approved,
CONV-00070,chat,Could you explain the available options for this product? This is my first time dealing with this issue. Please let me know.,en,True,product_information,product_information,product_information,product_information,high,approved,
CONV-00071,email,I wanted to check whether Please stop ORD-101907 before it is dispatched. Please let me know.,en,True,order_cancellation,order_cancellation,order_cancellation,order_cancellation,high,approved,
CONV-00072,chat,"Hello, Would you mind checking the latest status of ORD-100084? Can you check?",en,True,order_status,order_status,order_status,order_status,high,approved,
CONV-00073,mobile_app,"Hi, Can you see what stage ORD-100227 is at right now? I placed the order earlier today. Any guidance would be helpful.",en,True,order_status,order_status,order_status,order_status,high,approved,
CONV-00074,web_form,Just checking — The delivery date for ORD-100296 has passed and I'm still waiting. I noticed this while reviewing my recent activity. I'd appreciate your help.,en,True,delivery_delay,delivery_delay,delivery_delay,delivery_delay,high,approved,
CONV-00075,email,Please advise: I'm still waiting for the money from my return. Can you check? I noticed this while reviewing my recent activity. I'd appreciate your help.,en,True,refund_status,refund_status,refund_status,refund_status,high,approved,
CONV-00076,web_form,"Hello, The product has a crack that wasn't shown in the listing. I haven't changed anything on my account. Thank you.",en,True,damaged_item,damaged_item,damaged_item,damaged_item,high,approved,
CONV-00077,mobile_app,Could you help me? What is the estimated delivery date for my package? I placed the order earlier today. I’d like to resolve this today.,en,True,delivery_estimate,delivery_estimate,delivery_estimate,delivery_estimate,high,approved,
CONV-00078,mobile_app,I need some help. The login page won't let me access my account. I haven't changed anything on my account.,en,True,account_access,account_access,account_access,account_access,high,approved,
CONV-00079,mobile_app,"Hi, My multi-item order is incomplete. I placed the order earlier today. I’d like to resolve this today.",en,True,missing_item,missing_item,missing_item,missing_item,high,approved,
CONV-00080,web_form,"Hi, How can I prevent the plan from renewing? I placed the order earlier today. Any guidance would be helpful.",en,True,subscription_cancel,subscription_cancel,subscription_cancel,subscription_cancel,high,approved,
CONV-00081,mobile_app,I’m contacting support because I think someone may have accessed my account. I haven't changed anything on my account. Thank you.,en,True,account_security,account_security,account_security,account_security,high,approved,
CONV-00082,email,Could you help me? Can you send me through the password recovery process? I’m trying to sort this out before the end of the day. I’d like to resolve this today.,en,True,password_reset,password_reset,password_reset,password_reset,high,approved,
CONV-00083,mobile_app,Could you help me? My subscription payment was higher than I expected. I placed the order earlier today. Thanks.,en,True,subscription_billing,subscription_billing,subscription_billing,subscription_billing,high,approved,
CONV-00084,mobile_app,"Hi, I see two charges for the same purchase. I’m trying to sort this out before the end of the day. I'd appreciate your help.",en,True,duplicate_charge,duplicate_charge,subscription_billing,duplicate_charge,medium,adjudicated,REVIEWER-001
CONV-00085,chat,I need some help. I can't recall my password and need to change it. Can you check?,en,True,password_reset,password_reset,password_reset,password_reset,high,approved,
CONV-00086,mobile_app,I need some help. Why does the payment fail whenever I try to complete the order? This is my first time dealing with this issue. Please let me know.,en,True,payment_failure,duplicate_charge,duplicate_charge,duplicate_charge,medium,adjudicated,REVIEWER-001
CONV-00087,email,"Hello, What steps do I need to follow to return this product? I haven't changed anything on my account. Thank you.",en,True,return_request,return_request,return_request,return_request,high,approved,
CONV-00088,mobile_app,Please advise: When should ORD-100655 arrive? I noticed this while reviewing my recent activity. I’d like to resolve this today.,en,True,delivery_estimate,delivery_estimate,delivery_estimate,delivery_estimate,high,approved,
CONV-00089,mobile_app,Has the courier scanned ORD-104797 yet? I haven't changed anything on my account. Can you check?,en,True,delivery_tracking,delivery_tracking,delivery_delay,delivery_tracking,medium,adjudicated,REVIEWER-001
CONV-00090,mobile_app,"Hello, Could you help me end my recurring plan? Can you check?",en,True,subscription_cancel,subscription_cancel,subscription_cancel,subscription_cancel,high,approved,
CONV-00091,email,Could you help me? My subscription payment was higher than I expected. I placed the order earlier today. I’d like to resolve this today.,en,True,subscription_billing,subscription_billing,subscription_billing,subscription_billing,high,approved,
CONV-00092,web_form,"Could you help me? I expected this shipment already, but it hasn't turned up. I’m trying to sort this out before the end of the day. I’d like to resolve this today.",en,True,delivery_delay,delivery_delay,delivery_delay,delivery_delay,high,approved,
CONV-00093,email,"Hi, Can you see what stage ORD-100157 is at right now? I’m trying to sort this out before the end of the day. I'd appreciate your help.",en,True,order_status,order_status,order_status,order_status,high,approved,
CONV-00094,email,My payment is being declined at checkout. I haven't changed anything on my account.,en,True,payment_failure,payment_failure,subscription_billing,payment_failure,medium,adjudicated,REVIEWER-001
CONV-00095,mobile_app,"Hello, My parcel is 2 days late. Can you investigate? Please let me know.",en,True,delivery_delay,delivery_delay,delivery_delay,delivery_delay,high,approved,
CONV-00096,chat,I wanted to check whether Can you tell me more about this product's features? Please let me know.,en,True,product_information,product_information,product_information,product_information,high,approved,
CONV-00097,web_form,"Hi, I can't sign in to my account. I placed the order earlier today. Any guidance would be helpful.",en,True,account_access,account_access,account_access,account_access,high,approved,
CONV-00098,web_form,"Hi, I think someone may have accessed my account. I’m trying to sort this out before the end of the day. I’d like to resolve this today.",en,True,account_security,account_security,account_security,account_security,high,approved,
CONV-00099,mobile_app,"I expected this shipment already, but it hasn't turned up. This is my first time dealing with this issue. Thank you.",en,True,delivery_delay,delivery_delay,delivery_delay,delivery_delay,high,approved,
CONV-00100,mobile_app,Please advise: Would you mind checking the latest status of ORD-100079? I’m trying to sort this out before the end of the day. Thanks.,en,True,order_status,order_status,order_status,order_status,high,approved,
CONV-00101,email,Could you help me? The same purchase appears twice on my card statement. I placed the order earlier today. Thanks.,en,True,payment_failure,duplicate_charge,duplicate_charge,duplicate_charge,medium,adjudicated,REVIEWER-001
CONV-00102,email,Quick question: I think I was charged more than once for a single checkout. I’m trying to sort this out before the end of the day. Any guidance would be helpful.,en,True,duplicate_charge,duplicate_charge,duplicate_charge,duplicate_charge,high,approved,
CONV-00103,mobile_app,"Hi, I opened the package and found the product broken. I noticed this while reviewing my recent activity. Any guidance would be helpful.",en,True,damaged_item,damaged_item,damaged_item,damaged_item,high,approved,
CONV-00104,email,I need some help. The discount isn't being applied even though I entered the code. I haven't changed anything on my account. Can you check?,en,True,promo_code,promo_code,promo_code,promo_code,high,approved,
CONV-00105,mobile_app,"I’m contacting support because ORD-100465 was due on Saturday, but it still hasn't arrived. I haven't changed anything on my account. Please let me know.",en,True,delivery_delay,delivery_delay,delivery_estimate,delivery_delay,medium,adjudicated,REVIEWER-001
CONV-00106,chat,I need some help. I placed ORD-100248 recently. What is happening with it? This is my first time dealing with this issue.,en,True,order_status,order_status,order_status,order_status,high,approved,
CONV-00107,email,I’m contacting support because Could you explain the return process for this purchase? I haven't changed anything on my account. Thank you.,en,True,return_request,return_request,return_request,return_request,high,approved,
CONV-00108,email,My payment is being declined at checkout. This is my first time dealing with this issue.,en,True,payment_failure,subscription_billing,payment_failure,payment_failure,medium,adjudicated,REVIEWER-001
CONV-00109,chat,Could you explain the available options for this product? Please let me know.,en,True,product_information,product_information,promo_code,product_information,medium,adjudicated,REVIEWER-001
CONV-00110,chat,Just checking — Why does the payment fail whenever I try to complete the order? I placed the order earlier today. Any guidance would be helpful.,en,True,payment_failure,payment_failure,duplicate_charge,payment_failure,medium,adjudicated,REVIEWER-001
CONV-00111,chat,"Quick question: I have tried several times, but the transaction won't go through. I’m trying to sort this out before the end of the day. Thanks.",en,True,payment_failure,payment_failure,payment_failure,payment_failure,high,approved,
CONV-00112,web_form,I need some help. Has the refund for ORD-101090 been issued yet? This is my first time dealing with this issue. Please let me know.,en,True,refund_status,refund_status,refund_status,refund_status,high,approved,
CONV-00113,email,Quick question: I have a question about the charge on my recurring plan. I’m trying to sort this out before the end of the day. I’d like to resolve this today.,en,True,subscription_billing,subscription_billing,subscription_billing,subscription_billing,high,approved,
CONV-00114,web_form,I wanted to check whether Can you give me an ETA for this shipment?,en,True,delivery_estimate,delivery_estimate,delivery_estimate,delivery_estimate,high,approved,
CONV-00115,email,I wanted to check whether The delivered item doesn't match my order. I haven't changed anything on my account.,en,True,wrong_item,wrong_item,wrong_item,wrong_item,high,approved,
CONV-00116,email,Please advise: I entered the wrong delivery address. Can it be corrected? I noticed this while reviewing my recent activity. Thanks.,en,True,address_change,address_change,address_change,address_change,high,approved,
CONV-00117,mobile_app,Please advise: The product has a crack that wasn't shown in the listing. I’m trying to sort this out before the end of the day. Any guidance would be helpful.,en,True,damaged_item,damaged_item,damaged_item,damaged_item,high,approved,
CONV-00118,web_form,"My delivery arrived, but the item inside is damaged. This is my first time dealing with this issue. Please let me know.",en,True,damaged_item,damaged_item,damaged_item,damaged_item,high,approved,
CONV-00119,chat,I’m checking on ORD-100240. Could you tell me its current status?,en,True,order_status,order_status,order_status,order_status,high,approved,
CONV-00120,email,"Hello, My package contains a different product. This is my first time dealing with this issue. Can you check?",en,True,wrong_item,wrong_item,wrong_item,wrong_item,high,approved,
CONV-00121,chat,Could you help me? My payment is being declined at checkout. I’m trying to sort this out before the end of the day. Any guidance would be helpful.,en,True,payment_failure,payment_failure,payment_failure,payment_failure,high,approved,
CONV-00122,email,Could you help me? Could you tell me the current status of my refund? I placed the order earlier today. I'd appreciate your help.,en,True,refund_status,refund_status,refund_status,refund_status,high,approved,
CONV-00123,web_form,Please advise: Can you show me the latest tracking update for my shipment? I placed the order earlier today. Thanks.,en,True,order_status,delivery_tracking,delivery_tracking,delivery_tracking,medium,adjudicated,REVIEWER-001
CONV-00124,mobile_app,Please advise: Would you mind checking the latest status of ORD-100199? I’m trying to sort this out before the end of the day. Thanks.,en,True,order_status,delivery_estimate,order_status,order_status,medium,adjudicated,REVIEWER-001
CONV-00125,web_form,Just checking — The item I received isn't the one I ordered. I noticed this while reviewing my recent activity. I'd appreciate your help.,en,True,wrong_item,wrong_item,wrong_item,wrong_item,high,approved,
CONV-00126,email,Could you help me? Could you explain the available options for this product? I noticed this while reviewing my recent activity. Thanks.,en,True,product_information,product_information,product_information,product_information,high,approved,
CONV-00127,chat,I wanted to check whether The item arrived damaged. What should I do? This is my first time dealing with this issue. Can you check?,en,True,damaged_item,damaged_item,damaged_item,damaged_item,high,approved,
CONV-00128,email,"Hello, Can you show me the latest tracking update for my shipment? This is my first time dealing with this issue. Thank you.",en,True,order_status,delivery_tracking,delivery_tracking,delivery_tracking,medium,adjudicated,REVIEWER-001
CONV-00129,email,I wanted to check whether I keep getting rejected when I try to sign in. I haven't changed anything on my account. Thank you.,en,True,account_access,account_access,account_access,account_access,high,approved,
CONV-00130,web_form,"Hello, I forgot my password. How can I reset it? Thank you.",en,True,password_reset,password_reset,account_security,password_reset,medium,adjudicated,REVIEWER-001
CONV-00131,web_form,Could you help me? Why is the coupon being rejected at checkout? I’m trying to sort this out before the end of the day. I'd appreciate your help.,en,True,promo_code,promo_code,promo_code,promo_code,high,approved,
CONV-00132,mobile_app,Quick question: I need to create a new password because I can't remember mine. I placed the order earlier today. Thanks.,en,True,password_reset,password_reset,password_reset,password_reset,high,approved,
CONV-00133,mobile_app,I’m contacting support because I'd like to withdraw this purchase if it hasn't shipped.,en,True,order_cancellation,order_status,order_cancellation,order_cancellation,medium,adjudicated,REVIEWER-001
CONV-00134,email,My payment is being declined at checkout.,en,True,payment_failure,payment_failure,payment_failure,payment_failure,high,approved,
CONV-00135,web_form,Just checking — I don't want the subscription to continue after this billing period. I placed the order earlier today. Any guidance would be helpful.,en,True,subscription_cancel,subscription_cancel,order_cancellation,subscription_cancel,medium,adjudicated,REVIEWER-001
CONV-00136,web_form,"Hello, I don't recognize the amount billed for my membership. I haven't changed anything on my account. Please let me know.",en,True,subscription_billing,subscription_billing,subscription_billing,subscription_billing,high,approved,
CONV-00137,mobile_app,"Hello, My discount code isn't working. I haven't changed anything on my account. Thank you.",en,True,promo_code,promo_code,promo_code,promo_code,high,approved,
CONV-00138,email,Could you help me? Please update the destination before the order ships. I’m trying to sort this out before the end of the day. Any guidance would be helpful.,en,True,address_change,address_change,address_change,address_change,high,approved,
CONV-00139,web_form,Could you help me? Please help me arrange a return. I’m trying to sort this out before the end of the day. Any guidance would be helpful.,en,True,return_request,return_request,return_request,return_request,high,approved,
CONV-00140,mobile_app,Please advise: Would you mind checking the latest status of ORD-100179? I placed the order earlier today. Any guidance would be helpful.,en,True,order_status,order_status,order_status,order_status,high,approved,
CONV-00141,web_form,I wanted to check whether I need to redirect this package to another address. I haven't changed anything on my account.,en,True,address_change,address_change,address_change,address_change,high,approved,
CONV-00142,mobile_app,I wanted to check whether Please stop my recurring membership. This is my first time dealing with this issue.,en,True,subscription_cancel,subscription_cancel,subscription_cancel,subscription_cancel,high,approved,
CONV-00143,chat,Quick question: I want to track the package that was just dispatched. I’m trying to sort this out before the end of the day. I'd appreciate your help.,en,True,delivery_tracking,delivery_tracking,delivery_tracking,delivery_tracking,high,approved,
CONV-00144,email,"Hello, Could you help me end my recurring plan? This is my first time dealing with this issue. Please let me know.",en,True,subscription_cancel,subscription_cancel,subscription_cancel,subscription_cancel,high,approved,
CONV-00145,email,I wanted to check whether The promotional code says it is invalid. I haven't changed anything on my account. Can you check?,en,True,promo_code,promo_code,promo_code,promo_code,high,approved,
CONV-00146,web_form,I’m contacting support because Where can I request a password reset? I haven't changed anything on my account. Thank you.,en,True,password_reset,password_reset,password_reset,password_reset,high,approved,
CONV-00147,chat,Quick question: I keep getting rejected when I try to sign in. I noticed this while reviewing my recent activity. I'd appreciate your help.,en,True,account_access,account_access,account_access,account_access,high,approved,
CONV-00148,chat,I need some help. Can I change the shipping address for ORD-103580? Thank you.,en,True,address_change,address_change,address_change,address_change,high,approved,
CONV-00149,email,"Hello, I'm locked out of my account and need access. Please let me know.",en,True,account_access,account_access,account_access,account_access,high,approved,
CONV-00150,mobile_app,Could you help me? One product from my order is missing. I placed the order earlier today. I’d like to resolve this today.,en,True,missing_item,missing_item,missing_item,missing_item,high,approved,
CONV-00151,email,"Hello, I can't finish the purchase because the payment isn't accepted. This is my first time dealing with this issue. Can you check?",en,True,payment_failure,payment_failure,payment_failure,payment_failure,high,approved,
CONV-00152,email,I’m contacting support because How can I prevent the plan from renewing? I haven't changed anything on my account. Please let me know.,en,True,subscription_cancel,subscription_cancel,subscription_cancel,subscription_cancel,high,approved,
CONV-00153,email,Please advise: Does this product come with the accessories shown? I placed the order earlier today. Any guidance would be helpful.,en,True,product_information,product_information,product_information,product_information,high,approved,
CONV-00154,chat,Could you help me? Has the courier scanned ORD-104902 yet? I’m trying to sort this out before the end of the day. I'd appreciate your help.,en,True,delivery_tracking,delivery_tracking,delivery_tracking,delivery_tracking,high,approved,
CONV-00155,web_form,Please advise: Can you cancel ORD-101860 for me? I’m trying to sort this out before the end of the day. Thanks.,en,True,order_cancellation,order_cancellation,order_cancellation,order_cancellation,high,approved,
CONV-00156,chat,I need some help. I placed ORD-100008 recently. What is happening with it? This is my first time dealing with this issue.,en,True,order_status,order_status,order_status,order_status,high,approved,
CONV-00157,chat,Quick question: I keep getting rejected when I try to sign in. I’m trying to sort this out before the end of the day. I'd appreciate your help.,en,True,account_access,account_access,account_access,account_access,high,approved,
CONV-00158,email,"Hello, I'm locked out of my account and need access. This is my first time dealing with this issue. Please let me know.",en,True,account_access,account_access,account_access,account_access,high,approved,
CONV-00159,chat,I’m contacting support because How do I change the address attached to my order? Please let me know.,en,True,address_change,address_change,address_change,address_change,high,approved,
CONV-00160,chat,"Hello, Would you mind checking the latest status of ORD-100144?",en,True,order_status,order_status,order_status,order_status,high,approved,
CONV-00161,chat,"My delivery arrived, but the item inside is damaged.",en,True,damaged_item,damaged_item,damaged_item,damaged_item,high,approved,
CONV-00162,mobile_app,"Hi, Where can I request a password reset? I placed the order earlier today. Any guidance would be helpful.",en,True,password_reset,password_reset,password_reset,password_reset,high,approved,
CONV-00163,mobile_app,I’m contacting support because Could you explain the return process for this purchase? I haven't changed anything on my account.,en,True,return_request,return_request,return_request,return_request,high,approved,
CONV-00164,chat,"I wanted to check whether The item was returned, but I haven't received the refund. I haven't changed anything on my account. Can you check?",en,True,refund_status,refund_status,refund_status,refund_status,high,approved,
