conversation_id,customer_message,intent
CONV-00267,Just checking — The item I received isn't the one I ordered. I placed the order earlier today. I'd appreciate your help.,damaged_item
CONV-03429,Could you help me? What is the estimated delivery date for my package? I noticed this while reviewing my recent activity. I'd appreciate your help.,delivery_estimate
CONV-03004,"Hello, I don't recognize the amount billed for my membership. I haven't changed anything on my account. Thank you.",subscription_billing
CONV-01641,I’m contacting support because I opened the package and found the product broken. This is my first time dealing with this issue. Thank you.,damaged_item
CONV-04816,I’m contacting support because Roughly how long will delivery take? I haven't changed anything on my account. Thank you.,delivery_estimate
CONV-01219,Please advise: My parcel is 5 days late. Can you investigate? I noticed this while reviewing my recent activity. I’d like to resolve this today.,delivery_delay
CONV-04399,Could you help me? My payment is being declined at checkout. I’m trying to sort this out before the end of the day. I'd appreciate your help.,payment_failure
CONV-02308,"Hi, How can I prevent the plan from renewing? I placed the order earlier today. I’d like to resolve this today.",subscription_cancel
CONV-02215,Could you help me? What is the estimated delivery date for my package? I placed the order earlier today. I'd appreciate your help.,delivery_estimate
CONV-04660,One product from my order is missing. Please let me know.,missing_item
CONV-02099,I wanted to check whether Can you give me an ETA for this shipment? Please let me know.,delivery_estimate
CONV-02615,"Hello, I received a security alert for an unfamiliar sign-in. This is my first time dealing with this issue. Thank you.",account_security
CONV-02597,Please advise: Can you show me the latest tracking update for my shipment? I noticed this while reviewing my recent activity. Any guidance would be helpful.,delivery_tracking
CONV-00116,Please advise: I entered the wrong delivery address. Can it be corrected? I noticed this while reviewing my recent activity. Thanks.,address_change
CONV-01353,Could you help me? The same purchase appears twice on my card statement. I noticed this while reviewing my recent activity. Any guidance would be helpful.,duplicate_charge
CONV-01953,"Hi, I see two charges for the same purchase. I placed the order earlier today. Thanks.",duplicate_charge
CONV-00521,"Hello, I don't recognize the amount billed for my membership.",subscription_billing
CONV-02309,Quick question: Can you give me an ETA for this shipment? I noticed this while reviewing my recent activity. Thanks.,delivery_estimate
CONV-04651,Please advise: When should ORD-100635 arrive? I’m trying to sort this out before the end of the day. I'd appreciate your help.,delivery_estimate
CONV-02195,Just checking — Can you help me cancel my recent order? I noticed this while reviewing my recent activity. I’d like to resolve this today.,order_cancellation
CONV-01367,"Hello, When should ORD-100620 arrive? I haven't changed anything on my account. Please let me know.",delivery_estimate
CONV-04141,"Hello, What steps do I need to follow to return this product? I haven't changed anything on my account.",return_request
CONV-01724,"Hi, I think someone may have accessed my account. I placed the order earlier today. Any guidance would be helpful.",account_security
CONV-03040,One product from my order is missing. This is my first time dealing with this issue. Please let me know.,missing_item
CONV-04583,"Hello, I'm still waiting for the money from my return. Can you check? This is my first time dealing with this issue. Please let me know.",refund_status
CONV-01723,"I wanted to check whether I have tried several times, but the transaction won't go through. Can you check?",payment_failure
CONV-00088,Please advise: When should ORD-100655 arrive? I noticed this while reviewing my recent activity. I’d like to resolve this today.,delivery_estimate
CONV-03858,Please advise: My discount code isn't working. I noticed this while reviewing my recent activity. Any guidance would be helpful.,promo_code
CONV-04859,"Hi, Checkout keeps rejecting my payment. I noticed this while reviewing my recent activity. Any guidance would be helpful.",payment_failure
CONV-03102,"Hi, Checkout keeps rejecting my payment. I’m trying to sort this out before the end of the day. I’d like to resolve this today.",payment_failure
CONV-02095,Please advise: Can you show me the latest tracking update for my shipment? I placed the order earlier today. I’d like to resolve this today.,delivery_tracking
CONV-03483,I wanted to check whether I think I was charged more than once for a single checkout. Please let me know.,duplicate_charge
CONV-03256,"I wanted to check whether The box arrived, but charger wasn't inside. Please let me know.",missing_item
CONV-03706,Please advise: I don't recognize the amount billed for my membership. I’m trying to sort this out before the end of the day. I’d like to resolve this today.,subscription_billing
CONV-04893,I wanted to check whether Can you give me an ETA for this shipment?,delivery_estimate
CONV-03166,"Hi, I opened the package and found the product broken. I noticed this while reviewing my recent activity. Thanks.",damaged_item
CONV-00658,What is the estimated delivery date for my package? I haven't changed anything on my account.,delivery_estimate
CONV-02052,Quick question: I want to return ORD-100820. How do I start? I’m trying to sort this out before the end of the day. Any guidance would be helpful.,return_request
CONV-02728,Could you help me? My account suddenly won't let me log in. I placed the order earlier today. Any guidance would be helpful.,account_access
CONV-02355,Why is the coupon being rejected at checkout? I haven't changed anything on my account. Can you check?,promo_code
CONV-02456,I’m contacting support because Something different was packed instead of what I purchased.,wrong_item
CONV-03747,"I wanted to check whether I have tried several times, but the transaction won't go through. This is my first time dealing with this issue. Please let me know.",payment_failure
CONV-03197,My subscription payment was higher than I expected. I haven't changed anything on my account.,subscription_billing
CONV-04512,Please advise: My discount code isn't working. I noticed this while reviewing my recent activity. Thanks.,promo_code
CONV-02913,I need some help. I’m planning around the delivery. When is it expected? This is my first time dealing with this issue. Can you check?,delivery_estimate
CONV-00815,Quick question: I noticed a login I don't recognize. I placed the order earlier today. I'd appreciate your help.,account_security
CONV-02477,I need some help. Where is ORD-104835 right now? Thank you.,delivery_tracking
CONV-02371,"Hi, When should the refund appear in my account? I placed the order earlier today. Thanks.",refund_status
CONV-04675,"Quick question: The box arrived, but cable wasn't inside. I placed the order earlier today. Thanks.",missing_item
CONV-04511,"Hello, What steps do I need to follow to return this product? This is my first time dealing with this issue.",return_request
CONV-04182,Just checking — I changed my mind and would like to send the item back. I placed the order earlier today. Thanks.,return_request
CONV-01668,Please advise: What steps do I need to follow to return this product? I’m trying to sort this out before the end of the day. I’d like to resolve this today.,return_request
CONV-03329,I need some help. Can you explain the latest recurring charge? Please let me know.,subscription_billing
CONV-04407,Could you help me? The same purchase appears twice on my card statement. I’m trying to sort this out before the end of the day. Thanks.,duplicate_charge
CONV-02289,Could you help me? Something about my account activity looks suspicious. I placed the order earlier today. I'd appreciate your help.,account_security
CONV-02536,I wanted to check whether I think I was charged more than once for a single checkout.,duplicate_charge
CONV-01382,Just checking — There are changes in my profile that I didn't make. I’m trying to sort this out before the end of the day. I’d like to resolve this today.,account_security
CONV-00956,"Hi, ORD-100450 was due on Wednesday, but it still hasn't arrived. I’m trying to sort this out before the end of the day. Thanks.",delivery_delay
CONV-04268,"Hi, Something different was packed instead of what I purchased. I placed the order earlier today. I’d like to resolve this today.",wrong_item
CONV-00019,I wanted to check whether I think I was charged more than once for a single checkout. I haven't changed anything on my account. Please let me know.,duplicate_charge
CONV-01661,"Hi, Could you tell me the current location or transit stage of my parcel? I’m trying to sort this out before the end of the day. I'd appreciate your help.",delivery_tracking
CONV-03020,Just checking — Where is ORD-104970 right now? I noticed this while reviewing my recent activity. I’d like to resolve this today.,delivery_tracking
CONV-00074,Just checking — The delivery date for ORD-100296 has passed and I'm still waiting. I noticed this while reviewing my recent activity. I'd appreciate your help.,delivery_delay
CONV-04466,I’m contacting support because When should the refund appear in my account? Thank you.,refund_status
CONV-01406,"Hi, Why was my subscription charged this month? I’m trying to sort this out before the end of the day. Thanks.",subscription_billing
CONV-01182,Quick question: Can you tell me more about this product's features? I noticed this while reviewing my recent activity. I’d like to resolve this today.,product_information
CONV-04996,Could you help me? Why is the coupon being rejected at checkout? I noticed this while reviewing my recent activity. Thanks.,promo_code
CONV-04211,Please advise: I don't recognize the amount billed for my membership. I placed the order earlier today. Any guidance would be helpful.,subscription_billing
CONV-02283,Could you help me? What is the estimated delivery date for my package? I’m trying to sort this out before the end of the day. Thanks.,delivery_estimate
CONV-04832,Could you help me? Something about my account activity looks suspicious. I’m trying to sort this out before the end of the day. Any guidance would be helpful.,account_security
CONV-04358,"Hi, Can you see what stage ORD-100137 is at right now? I placed the order earlier today. I’d like to resolve this today.",order_status
CONV-02533,I’m contacting support because When should the refund appear in my account? This is my first time dealing with this issue. Please let me know.,refund_status
CONV-02633,"Hi, I see two charges for the same purchase. I noticed this while reviewing my recent activity. I'd appreciate your help.",duplicate_charge
CONV-04937,Quick question: Do you have an update on ORD-100161? I want to know where it stands. I placed the order earlier today. I’d like to resolve this today.,order_status
CONV-02663,Just checking — Can you help me cancel my recent order? I’m trying to sort this out before the end of the day. Thanks.,order_cancellation
CONV-04614,I wanted to check whether I keep getting rejected when I try to sign in. Please let me know.,account_access
CONV-04468,"Hello, My discount code isn't working. Thank you.",promo_code
CONV-02692,"Hello, I received a security alert for an unfamiliar sign-in. I haven't changed anything on my account. Please let me know.",account_security
CONV-01452,I wanted to check whether Please stop ORD-101777 before it is dispatched. This is my first time dealing with this issue. Can you check?,order_cancellation
CONV-00509,I wanted to check whether I think I was charged more than once for a single checkout. I haven't changed anything on my account. Can you check?,duplicate_charge
CONV-03719,"Hi, How can I prevent the plan from renewing? I’m trying to sort this out before the end of the day. Any guidance would be helpful.",subscription_cancel
CONV-03700,I wanted to check whether I need to create a new password because I can't remember mine. Please let me know.,password_reset
CONV-04298,Quick question: The item arrived damaged. What should I do? I’m trying to sort this out before the end of the day. Any guidance would be helpful.,damaged_item
CONV-02826,"Hello, Can you show me the latest tracking update for my shipment? This is my first time dealing with this issue. Please let me know.",delivery_tracking
CONV-03349,"Hi, Where can I request a password reset? I placed the order earlier today. I'd appreciate your help.",password_reset
CONV-01240,"Hi, Can you see what stage ORD-100247 is at right now? I’m trying to sort this out before the end of the day. Thanks.",order_status
CONV-04972,Please advise: I forgot my password. How can I reset it? I placed the order earlier today. I’d like to resolve this today.,password_reset
CONV-01462,"Hi, Something different was packed instead of what I purchased. I’m trying to sort this out before the end of the day. I'd appreciate your help.",wrong_item
CONV-02188,Could you help me? My payment is being declined at checkout. I placed the order earlier today. I’d like to resolve this today.,payment_failure
CONV-03735,"Quick question: The item was returned, but I haven't received the refund. I noticed this while reviewing my recent activity. Any guidance would be helpful.",refund_status
CONV-00413,Just checking — Part of ORD-102623 was not included in the delivery. I placed the order earlier today. I’d like to resolve this today.,missing_item
CONV-03165,"I expected this shipment already, but it hasn't turned up. This is my first time dealing with this issue.",delivery_delay
CONV-01611,Quick question: Can you give me an ETA for this shipment? I’m trying to sort this out before the end of the day. Thanks.,delivery_estimate
CONV-01330,I wanted to check whether The item arrived damaged. What should I do? I haven't changed anything on my account. Thank you.,damaged_item
CONV-02082,"Hi, I see two charges for the same purchase. I placed the order earlier today. Any guidance would be helpful.",duplicate_charge
CONV-01967,I’m contacting support because Roughly how long will delivery take? I haven't changed anything on my account. Can you check?,delivery_estimate
CONV-04692,"Hi, My multi-item order is incomplete. I noticed this while reviewing my recent activity. Any guidance would be helpful.",missing_item
CONV-02469,"Hi, Where can I request a password reset? I’m trying to sort this out before the end of the day. I'd appreciate your help.",password_reset
CONV-01341,I’m contacting support because I see two charges for the same purchase. This is my first time dealing with this issue.,duplicate_charge
CONV-03388,Quick question: I keep getting rejected when I try to sign in. I placed the order earlier today. I’d like to resolve this today.,account_access
CONV-04252,"Hello, My parcel is 2 days late. Can you investigate?",delivery_delay
CONV-04602,Just checking — The login page won't let me access my account. I’m trying to sort this out before the end of the day. Thanks.,account_access
CONV-01394,Please advise: What steps do I need to follow to return this product? I noticed this while reviewing my recent activity. I’d like to resolve this today.,return_request
CONV-04081,Please advise: My discount code isn't working. I’m trying to sort this out before the end of the day. Thanks.,promo_code
CONV-01296,Quick question: I want to track the package that was just dispatched. I noticed this while reviewing my recent activity. Any guidance would be helpful.,delivery_tracking
CONV-01303,I’m contacting support because I can't sign in to my account. I haven't changed anything on my account. Thank you.,account_access
CONV-04188,I wanted to check whether The delivered item doesn't match my order. Can you check?,wrong_item
CONV-02651,Just checking — The discount isn't being applied even though I entered the code. I placed the order earlier today. Thanks.,promo_code
CONV-01370,"Hi, When should the refund appear in my account? I placed the order earlier today. I’d like to resolve this today.",refund_status
CONV-01404,"Hello, Would you mind checking the latest status of ORD-100174? Please let me know.",order_status
CONV-01366,"Hello, I'm still waiting for the money from my return. Can you check?",refund_status
CONV-04049,"Hi, Checkout keeps rejecting my payment. I noticed this while reviewing my recent activity. I'd appreciate your help.",payment_failure
CONV-00609,Why is the coupon being rejected at checkout?,promo_code
CONV-03424,"Hello, My parcel is 4 days late. Can you investigate? This is my first time dealing with this issue. Thank you.",delivery_delay
CONV-03984,Could you help me? Has the courier scanned ORD-104922 yet? I noticed this while reviewing my recent activity. I’d like to resolve this today.,delivery_tracking
CONV-03138,Just checking — I’m planning around the delivery. When is it expected? I noticed this while reviewing my recent activity. Any guidance would be helpful.,delivery_estimate
CONV-03755,Please advise: I forgot my password. How can I reset it? I’m trying to sort this out before the end of the day. Thanks.,password_reset
CONV-01679,I wanted to check whether The item arrived damaged. What should I do?,damaged_item
CONV-02362,I need some help. Why does the payment fail whenever I try to complete the order? I haven't changed anything on my account. Please let me know.,payment_failure
CONV-01599,Could you help me? I was sent the wrong model. I placed the order earlier today. Thanks.,missing_item
CONV-02605,Quick question: I need to redirect this package to another address. I placed the order earlier today. Any guidance would be helpful.,address_change
CONV-04724,"Hello, I received the package, but one of the products is absent. This is my first time dealing with this issue. Please let me know.",missing_item
CONV-00655,Could you help me? What is the estimated delivery date for my package? I placed the order earlier today. Thanks.,delivery_estimate
CONV-00370,I’m contacting support because Where should I enter my promo code? I haven't changed anything on my account. Can you check?,promo_code
CONV-00960,Quick question: I keep getting rejected when I try to sign in. I’m trying to sort this out before the end of the day. Thanks.,account_access
CONV-01738,Please advise: I forgot my password. How can I reset it? I placed the order earlier today. Thanks.,password_reset
CONV-00097,"Hi, I can't sign in to my account. I placed the order earlier today. Any guidance would be helpful.",account_access
CONV-00176,Something about my account activity looks suspicious. This is my first time dealing with this issue. Thank you.,account_security
CONV-02768,"Hello, Could you help me end my recurring plan? I haven't changed anything on my account. Thank you.",subscription_cancel
CONV-03687,I need some help. What exactly is included with this item?,product_information
CONV-04823,"Hi, Could you explain the return process for this purchase? I’m trying to sort this out before the end of the day. I'd appreciate your help.",return_request
CONV-00271,What is the estimated delivery date for my package? Please let me know.,delivery_estimate
CONV-04173,My subscription payment was higher than I expected. This is my first time dealing with this issue. Thank you.,subscription_billing
CONV-04437,Just checking — I can't recall my password and need to change it. I’m trying to sort this out before the end of the day. Thanks.,password_reset
CONV-01338,"Hi, Why was my subscription charged this month? I placed the order earlier today. I’d like to resolve this today.",subscription_billing
CONV-02575,I need some help. There are changes in my profile that I didn't make. Thank you.,account_security
CONV-00607,I need some help. I’m planning around the delivery. When is it expected? This is my first time dealing with this issue. Thank you.,delivery_estimate
CONV-04970,I need some help. Can you help me cancel my recent order? I haven't changed anything on my account. Please let me know.,order_cancellation
CONV-03961,Quick question: Can you tell me more about this product's features? I’m trying to sort this out before the end of the day. Thanks.,product_information
CONV-01102,"My delivery arrived, but the item inside is damaged. I haven't changed anything on my account. Please let me know.",damaged_item
CONV-00448,Please advise: Does this product come with the accessories shown? I placed the order earlier today. Thanks.,product_information
CONV-03035,I wanted to check whether Do you have an update on ORD-100216? I want to know where it stands.,order_status
CONV-04821,I was sent the wrong model. This is my first time dealing with this issue. Can you check?,wrong_item
CONV-03426,"My delivery arrived, but the item inside is damaged. I haven't changed anything on my account. Can you check?",damaged_item
CONV-02640,I wanted to check whether I want to track the package that was just dispatched. Can you check?,delivery_tracking
CONV-03229,I wanted to check whether Can you give me an ETA for this shipment? This is my first time dealing with this issue. Thank you.,delivery_estimate
CONV-02037,I wanted to check whether Can you tell me more about this product's features? This is my first time dealing with this issue. Thank you.,product_information
CONV-04993,I wanted to check whether I keep getting rejected when I try to sign in. This is my first time dealing with this issue. Please let me know.,account_access
CONV-01040,I’m contacting support because When should the refund appear in my account? This is my first time dealing with this issue. Can you check?,refund_status
CONV-00194,I’m contacting support because I need the specifications before I decide whether to buy it. I haven't changed anything on my account. Can you check?,product_information
CONV-02540,I wanted to check whether The promotional code says it is invalid.,promo_code
CONV-04099,Just checking — Can you help me cancel my recent order? I’m trying to sort this out before the end of the day. I’d like to resolve this today.,order_cancellation
CONV-02833,I need some help. Can I change the shipping address for ORD-103560? I haven't changed anything on my account. Please let me know.,address_change
CONV-02862,Quick question: I have a question about the charge on my recurring plan. I noticed this while reviewing my recent activity. I'd appreciate your help.,subscription_billing
CONV-02219,Please advise: Why are there duplicate transactions for one order? I placed the order earlier today. I'd appreciate your help.,duplicate_charge
CONV-04669,I need some help. Can you explain the latest recurring charge? I haven't changed anything on my account. Thank you.,subscription_billing
CONV-03548,I’m contacting support because Why was my subscription charged this month? Can you check?,subscription_billing
CONV-04454,"Hi, Where should I enter my promo code? I’m trying to sort this out before the end of the day. Thanks.",promo_code
CONV-00673,Just checking — Has the refund for ORD-101115 been issued yet? I noticed this while reviewing my recent activity. Thanks.,refund_status
CONV-00181,Could you explain the available options for this product? I haven't changed anything on my account. Thank you.,product_information
CONV-03039,I’m contacting support because Something different was packed instead of what I purchased. Please let me know.,wrong_item
CONV-04021,Could you help me? I was sent the wrong model. I’m trying to sort this out before the end of the day. I’d like to resolve this today.,wrong_item
CONV-01859,"Hello, My package contains a different product. This is my first time dealing with this issue. Please let me know.",wrong_item
CONV-01034,Please advise: I received a security alert for an unfamiliar sign-in. I noticed this while reviewing my recent activity. Thanks.,account_security
CONV-00996,"Hi, I need the specifications before I decide whether to buy it. I’m trying to sort this out before the end of the day. I’d like to resolve this today.",product_information
CONV-01302,"Hi, I see two charges for the same purchase. I placed the order earlier today. I’d like to resolve this today.",duplicate_charge
CONV-01532,Just checking — I don't want the subscription to continue after this billing period. I noticed this while reviewing my recent activity. Any guidance would be helpful.,subscription_cancel
CONV-00637,I’m contacting support because When should the refund appear in my account? Thank you.,refund_status
CONV-02367,I need some help. Has the refund for ORD-101140 been issued yet? I haven't changed anything on my account.,refund_status
CONV-00678,"Hi, Checkout keeps rejecting my payment. I noticed this while reviewing my recent activity. I’d like to resolve this today.",payment_failure
CONV-01736,"Hi, I opened the package and found the product broken. I placed the order earlier today. Any guidance would be helpful.",damaged_item
CONV-04029,Could you help me? I was sent the wrong model. I noticed this while reviewing my recent activity. Any guidance would be helpful.,wrong_item
CONV-03348,Please advise: Can you cancel ORD-101980 for me? I’m trying to sort this out before the end of the day. Thanks.,order_cancellation
CONV-02849,Please advise: Would you mind checking the latest status of ORD-100049? I’m trying to sort this out before the end of the day. I’d like to resolve this today.,order_status
CONV-02694,I’m contacting support because How do I change the address attached to my order?,address_change
CONV-01021,Could you help me? Could you explain the available options for this product? I placed the order earlier today. I'd appreciate your help.,product_information
CONV-02442,Could you help me? The same purchase appears twice on my card statement. I noticed this while reviewing my recent activity. Any guidance would be helpful.,duplicate_charge
CONV-03436,"Hello, I received the package, but one of the products is absent. I haven't changed anything on my account. Can you check?",missing_item
CONV-02180,I need some help. I changed my mind and would like to send the item back. I haven't changed anything on my account. Please let me know.,return_request
CONV-02576,My account suddenly won't let me log in. Thank you.,account_access
CONV-01454,Please advise: Can you cancel ORD-101770 for me? I’m trying to sort this out before the end of the day. I'd appreciate your help.,order_cancellation
CONV-01055,My account suddenly won't let me log in. This is my first time dealing with this issue. Please let me know.,account_access
CONV-00309,"Hello, My parcel is 2 days late. Can you investigate? Can you check?",delivery_delay
CONV-02350,"Hello, I don't recognize the amount billed for my membership. I haven't changed anything on my account. Thank you.",subscription_billing
CONV-01708,I’m contacting support because I think someone may have accessed my account. I haven't changed anything on my account. Thank you.,account_security
CONV-01310,I’m contacting support because Roughly how long will delivery take? I haven't changed anything on my account.,delivery_estimate
CONV-00619,"Hi, Can you see what stage ORD-100017 is at right now? I placed the order earlier today. I’d like to resolve this today.",order_status
CONV-01022,Please advise: Can you show me the latest tracking update for my shipment? I noticed this while reviewing my recent activity. Any guidance would be helpful.,delivery_tracking
CONV-00874,Could you help me? Why is the coupon being rejected at checkout? I’m trying to sort this out before the end of the day. Thanks.,promo_code
CONV-00731,Has the courier scanned ORD-104877 yet? Can you check?,delivery_tracking
CONV-00899,Just checking — There are changes in my profile that I didn't make. I noticed this while reviewing my recent activity. I’d like to resolve this today.,account_security
CONV-01951,I need some help. There is visible damage on the item I received. Thank you.,damaged_item
CONV-04379,"Could you help me? I expected this shipment already, but it hasn't turned up. I placed the order earlier today. I’d like to resolve this today.",delivery_delay
CONV-04162,"My delivery arrived, but the item inside is damaged. I haven't changed anything on my account. Can you check?",damaged_item
CONV-04434,"Hi, I need the specifications before I decide whether to buy it. I placed the order earlier today. I'd appreciate your help.",product_information
CONV-00484,I need some help. There are changes in my profile that I didn't make. Can you check?,account_security
CONV-02185,I’m contacting support because Roughly how long will delivery take? This is my first time dealing with this issue.,delivery_estimate
CONV-02512,Please update the destination before the order ships. I haven't changed anything on my account. Can you check?,address_change
CONV-04308,Quick question: The item arrived damaged. What should I do? I noticed this while reviewing my recent activity. I'd appreciate your help.,damaged_item
CONV-04931,"Hi, I need the specifications before I decide whether to buy it. I noticed this while reviewing my recent activity. I’d like to resolve this today.",promo_code
CONV-01830,Please advise: Can you cancel ORD-101820 for me? I noticed this while reviewing my recent activity. Thanks.,order_cancellation
CONV-01743,"Hi, Where can I request a password reset? I’m trying to sort this out before the end of the day. I’d like to resolve this today.",password_reset
CONV-03862,"Could you help me? My delivery arrived, but the item inside is damaged. I noticed this while reviewing my recent activity. I’d like to resolve this today.",damaged_item
CONV-02940,"I wanted to check whether The box arrived, but charger wasn't inside. I haven't changed anything on my account. Please let me know.",missing_item
CONV-01658,Please advise: My parcel is 1 days late. Can you investigate? I placed the order earlier today. Any guidance would be helpful.,delivery_delay
