conversation_id,channel,customer_message,language,synthetic
CONV-00034,chat,Please advise: Can you show me the latest tracking update for my shipment? I’m trying to sort this out before the end of the day. I’d like to resolve this today.,en,True
CONV-00035,email,"Hello, Can you cancel ORD-101755 for me? I haven't changed anything on my account. Please let me know.",en,True
CONV-00036,mobile_app,Could you help me? One product from my order is missing. I placed the order earlier today. I'd appreciate your help.,en,True
CONV-00037,email,Just checking — Can I change the shipping address for ORD-103585? I placed the order earlier today. Thanks.,en,True
CONV-00038,email,"Hello, My discount code isn't working.",en,True
CONV-00039,chat,Please advise: Can you show me the latest tracking update for my shipment? I placed the order earlier today. I'd appreciate your help.,en,True
CONV-00040,mobile_app,"Could you help me? My delivery arrived, but the item inside is damaged. I’m trying to sort this out before the end of the day. Any guidance would be helpful.",en,True
CONV-00041,mobile_app,"Hi, How do I change the address attached to my order? I’m trying to sort this out before the end of the day. I'd appreciate your help.",en,True
CONV-00042,email,Just checking — Can you explain the latest recurring charge? I noticed this while reviewing my recent activity. I’d like to resolve this today.,en,True
CONV-00043,email,Please advise: Would you mind checking the latest status of ORD-100029? I placed the order earlier today. I'd appreciate your help.,en,True
CONV-00044,email,Could you help me? I’m checking on ORD-100065. Could you tell me its current status? I placed the order earlier today. I’d like to resolve this today.,en,True
CONV-00045,chat,Please advise: What steps do I need to follow to return this product? I’m trying to sort this out before the end of the day. I'd appreciate your help.,en,True
CONV-00046,chat,Quick question: Please stop my recurring membership. I noticed this while reviewing my recent activity. I'd appreciate your help.,en,True
CONV-00047,mobile_app,I need some help. I don't want the subscription to continue after this billing period. This is my first time dealing with this issue.,en,True
CONV-00048,mobile_app,Quick question: Can you tell me more about this product's features? I noticed this while reviewing my recent activity. I'd appreciate your help.,en,True
CONV-00049,email,Could you help me? Can you send me through the password recovery process? I placed the order earlier today. I'd appreciate your help.,en,True
CONV-00050,mobile_app,"Please advise: I received the package, but one of the products is absent. I placed the order earlier today. I'd appreciate your help.",en,True
CONV-00051,mobile_app,Quick question: Can you tell me more about this product's features? I’m trying to sort this out before the end of the day. I’d like to resolve this today.,en,True
CONV-00052,chat,"Hello, Does this product come with the accessories shown? This is my first time dealing with this issue. Please let me know.",en,True
CONV-00053,email,"Hello, My package contains a different product.",en,True
CONV-00054,chat,Just checking — The login page won't let me access my account. I’m trying to sort this out before the end of the day. I'd appreciate your help.,en,True
CONV-00055,chat,I’m contacting support because When should the refund appear in my account? This is my first time dealing with this issue. Can you check?,en,True
CONV-00056,web_form,I’m contacting support because Where can I request a password reset? Thank you.,en,True
CONV-00057,mobile_app,"Quick question: The item was returned, but I haven't received the refund. I noticed this while reviewing my recent activity. Any guidance would be helpful.",en,True
CONV-00058,chat,I need some help. I placed ORD-100168 recently. What is happening with it?,en,True
CONV-00059,web_form,I’m contacting support because I see two charges for the same purchase. This is my first time dealing with this issue. Can you check?,en,True
CONV-00060,web_form,One product from my order is missing. Can you check?,en,True
CONV-00061,mobile_app,I was sent the wrong model. I haven't changed anything on my account. Please let me know.,en,True
CONV-00062,email,"Hello, My discount code isn't working. This is my first time dealing with this issue.",en,True
CONV-00063,mobile_app,I wanted to check whether The promotional code says it is invalid. This is my first time dealing with this issue. Please let me know.,en,True
CONV-00064,chat,"Hi, How can I prevent the plan from renewing? I’m trying to sort this out before the end of the day. I’d like to resolve this today.",en,True
CONV-00065,mobile_app,Just checking — I placed ORD-100023 recently. What is happening with it? I placed the order earlier today. Thanks.,en,True
CONV-00066,email,Just checking — Part of ORD-102633 was not included in the delivery. I noticed this while reviewing my recent activity. Any guidance would be helpful.,en,True
CONV-00067,web_form,Quick question: I noticed a login I don't recognize. I placed the order earlier today. I'd appreciate your help.,en,True
CONV-00068,mobile_app,Quick question: The item arrived damaged. What should I do? I noticed this while reviewing my recent activity. Thanks.,en,True
CONV-00069,web_form,Please update the destination before the order ships.,en,True
CONV-00070,chat,Could you explain the available options for this product? This is my first time dealing with this issue. Please let me know.,en,True
CONV-00071,email,I wanted to check whether Please stop ORD-101907 before it is dispatched. Please let me know.,en,True
CONV-00072,chat,"Hello, Would you mind checking the latest status of ORD-100084? Can you check?",en,True
CONV-00073,mobile_app,"Hi, Can you see what stage ORD-100227 is at right now? I placed the order earlier today. Any guidance would be helpful.",en,True
CONV-00074,web_form,Just checking — The delivery date for ORD-100296 has passed and I'm still waiting. I noticed this while reviewing my recent activity. I'd appreciate your help.,en,True
CONV-00075,email,Please advise: I'm still waiting for the money from my return. Can you check? I noticed this while reviewing my recent activity. I'd appreciate your help.,en,True
CONV-00076,web_form,"Hello, The product has a crack that wasn't shown in the listing. I haven't changed anything on my account. Thank you.",en,True
CONV-00077,mobile_app,Could you help me? What is the estimated delivery date for my package? I placed the order earlier today. I’d like to resolve this today.,en,True
CONV-00078,mobile_app,I need some help. The login page won't let me access my account. I haven't changed anything on my account.,en,True
CONV-00079,mobile_app,"Hi, My multi-item order is incomplete. I placed the order earlier today. I’d like to resolve this today.",en,True
CONV-00080,web_form,"Hi, How can I prevent the plan from renewing? I placed the order earlier today. Any guidance would be helpful.",en,True
CONV-00081,mobile_app,I’m contacting support because I think someone may have accessed my account. I haven't changed anything on my account. Thank you.,en,True
CONV-00082,email,Could you help me? Can you send me through the password recovery process? I’m trying to sort this out before the end of the day. I’d like to resolve this today.,en,True
CONV-00083,mobile_app,Could you help me? My subscription payment was higher than I expected. I placed the order earlier today. Thanks.,en,True
CONV-00084,mobile_app,"Hi, I see two charges for the same purchase. I’m trying to sort this out before the end of the day. I'd appreciate your help.",en,True
CONV-00085,chat,I need some help. I can't recall my password and need to change it. Can you check?,en,True
CONV-00086,mobile_app,I need some help. Why does the payment fail whenever I try to complete the order? This is my first time dealing with this issue. Please let me know.,en,True
CONV-00087,email,"Hello, What steps do I need to follow to return this product? I haven't changed anything on my account. Thank you.",en,True
CONV-00088,mobile_app,Please advise: When should ORD-100655 arrive? I noticed this while reviewing my recent activity. I’d like to resolve this today.,en,True
CONV-00089,mobile_app,Has the courier scanned ORD-104797 yet? I haven't changed anything on my account. Can you check?,en,True
CONV-00090,mobile_app,"Hello, Could you help me end my recurring plan? Can you check?",en,True
CONV-00091,email,Could you help me? My subscription payment was higher than I expected. I placed the order earlier today. I’d like to resolve this today.,en,True
CONV-00092,web_form,"Could you help me? I expected this shipment already, but it hasn't turned up. I’m trying to sort this out before the end of the day. I’d like to resolve this today.",en,True
CONV-00093,email,"Hi, Can you see what stage ORD-100157 is at right now? I’m trying to sort this out before the end of the day. I'd appreciate your help.",en,True
CONV-00094,email,My payment is being declined at checkout. I haven't changed anything on my account.,en,True
CONV-00095,mobile_app,"Hello, My parcel is 2 days late. Can you investigate? Please let me know.",en,True
CONV-00096,chat,I wanted to check whether Can you tell me more about this product's features? Please let me know.,en,True
CONV-00097,web_form,"Hi, I can't sign in to my account. I placed the order earlier today. Any guidance would be helpful.",en,True
CONV-00098,web_form,"Hi, I think someone may have accessed my account. I’m trying to sort this out before the end of the day. I’d like to resolve this today.",en,True
CONV-00099,mobile_app,"I expected this shipment already, but it hasn't turned up. This is my first time dealing with this issue. Thank you.",en,True
CONV-00100,mobile_app,Please advise: Would you mind checking the latest status of ORD-100079? I’m trying to sort this out before the end of the day. Thanks.,en,True
CONV-00101,email,Could you help me? The same purchase appears twice on my card statement. I placed the order earlier today. Thanks.,en,True
CONV-00102,email,Quick question: I think I was charged more than once for a single checkout. I’m trying to sort this out before the end of the day. Any guidance would be helpful.,en,True
CONV-00103,mobile_app,"Hi, I opened the package and found the product broken. I noticed this while reviewing my recent activity. Any guidance would be helpful.",en,True
CONV-00104,email,I need some help. The discount isn't being applied even though I entered the code. I haven't changed anything on my account. Can you check?,en,True
CONV-00105,mobile_app,"I’m contacting support because ORD-100465 was due on Saturday, but it still hasn't arrived. I haven't changed anything on my account. Please let me know.",en,True
CONV-00106,chat,I need some help. I placed ORD-100248 recently. What is happening with it? This is my first time dealing with this issue.,en,True
CONV-00107,email,I’m contacting support because Could you explain the return process for this purchase? I haven't changed anything on my account. Thank you.,en,True
CONV-00108,email,My payment is being declined at checkout. This is my first time dealing with this issue.,en,True
CONV-00109,chat,Could you explain the available options for this product? Please let me know.,en,True
CONV-00110,chat,Just checking — Why does the payment fail whenever I try to complete the order? I placed the order earlier today. Any guidance would be helpful.,en,True
CONV-00111,chat,"Quick question: I have tried several times, but the transaction won't go through. I’m trying to sort this out before the end of the day. Thanks.",en,True
CONV-00112,web_form,I need some help. Has the refund for ORD-101090 been issued yet? This is my first time dealing with this issue. Please let me know.,en,True
CONV-00113,email,Quick question: I have a question about the charge on my recurring plan. I’m trying to sort this out before the end of the day. I’d like to resolve this today.,en,True
CONV-00114,web_form,I wanted to check whether Can you give me an ETA for this shipment?,en,True
CONV-00115,email,I wanted to check whether The delivered item doesn't match my order. I haven't changed anything on my account.,en,True
CONV-00116,email,Please advise: I entered the wrong delivery address. Can it be corrected? I noticed this while reviewing my recent activity. Thanks.,en,True
CONV-00117,mobile_app,Please advise: The product has a crack that wasn't shown in the listing. I’m trying to sort this out before the end of the day. Any guidance would be helpful.,en,True
CONV-00118,web_form,"My delivery arrived, but the item inside is damaged. This is my first time dealing with this issue. Please let me know.",en,True
CONV-00119,chat,I’m checking on ORD-100240. Could you tell me its current status?,en,True
CONV-00120,email,"Hello, My package contains a different product. This is my first time dealing with this issue. Can you check?",en,True
CONV-00121,chat,Could you help me? My payment is being declined at checkout. I’m trying to sort this out before the end of the day. Any guidance would be helpful.,en,True
CONV-00122,email,Could you help me? Could you tell me the current status of my refund? I placed the order earlier today. I'd appreciate your help.,en,True
CONV-00123,web_form,Please advise: Can you show me the latest tracking update for my shipment? I placed the order earlier today. Thanks.,en,True
CONV-00124,mobile_app,Please advise: Would you mind checking the latest status of ORD-100199? I’m trying to sort this out before the end of the day. Thanks.,en,True
CONV-00125,web_form,Just checking — The item I received isn't the one I ordered. I noticed this while reviewing my recent activity. I'd appreciate your help.,en,True
CONV-00126,email,Could you help me? Could you explain the available options for this product? I noticed this while reviewing my recent activity. Thanks.,en,True
CONV-00127,chat,I wanted to check whether The item arrived damaged. What should I do? This is my first time dealing with this issue. Can you check?,en,True
CONV-00128,email,"Hello, Can you show me the latest tracking update for my shipment? This is my first time dealing with this issue. Thank you.",en,True
CONV-00129,email,I wanted to check whether I keep getting rejected when I try to sign in. I haven't changed anything on my account. Thank you.,en,True
CONV-00130,web_form,"Hello, I forgot my password. How can I reset it? Thank you.",en,True
CONV-00131,web_form,Could you help me? Why is the coupon being rejected at checkout? I’m trying to sort this out before the end of the day. I'd appreciate your help.,en,True
CONV-00132,mobile_app,Quick question: I need to create a new password because I can't remember mine. I placed the order earlier today. Thanks.,en,True
CONV-00133,mobile_app,I’m contacting support because I'd like to withdraw this purchase if it hasn't shipped.,en,True
CONV-00134,email,My payment is being declined at checkout.,en,True
CONV-00135,web_form,Just checking — I don't want the subscription to continue after this billing period. I placed the order earlier today. Any guidance would be helpful.,en,True
CONV-00136,web_form,"Hello, I don't recognize the amount billed for my membership. I haven't changed anything on my account. Please let me know.",en,True
CONV-00137,mobile_app,"Hello, My discount code isn't working. I haven't changed anything on my account. Thank you.",en,True
CONV-00138,email,Could you help me? Please update the destination before the order ships. I’m trying to sort this out before the end of the day. Any guidance would be helpful.,en,True
CONV-00139,web_form,Could you help me? Please help me arrange a return. I’m trying to sort this out before the end of the day. Any guidance would be helpful.,en,True
CONV-00140,mobile_app,Please advise: Would you mind checking the latest status of ORD-100179? I placed the order earlier today. Any guidance would be helpful.,en,True
CONV-00141,web_form,I wanted to check whether I need to redirect this package to another address. I haven't changed anything on my account.,en,True
CONV-00142,mobile_app,I wanted to check whether Please stop my recurring membership. This is my first time dealing with this issue.,en,True
CONV-00143,chat,Quick question: I want to track the package that was just dispatched. I’m trying to sort this out before the end of the day. I'd appreciate your help.,en,True
CONV-00144,email,"Hello, Could you help me end my recurring plan? This is my first time dealing with this issue. Please let me know.",en,True
CONV-00145,email,I wanted to check whether The promotional code says it is invalid. I haven't changed anything on my account. Can you check?,en,True
CONV-00146,web_form,I’m contacting support because Where can I request a password reset? I haven't changed anything on my account. Thank you.,en,True
CONV-00147,chat,Quick question: I keep getting rejected when I try to sign in. I noticed this while reviewing my recent activity. I'd appreciate your help.,en,True
CONV-00148,chat,I need some help. Can I change the shipping address for ORD-103580? Thank you.,en,True
CONV-00149,email,"Hello, I'm locked out of my account and need access. Please let me know.",en,True
CONV-00150,mobile_app,Could you help me? One product from my order is missing. I placed the order earlier today. I’d like to resolve this today.,en,True
CONV-00151,email,"Hello, I can't finish the purchase because the payment isn't accepted. This is my first time dealing with this issue. Can you check?",en,True
CONV-00152,email,I’m contacting support because How can I prevent the plan from renewing? I haven't changed anything on my account. Please let me know.,en,True
CONV-00153,email,Please advise: Does this product come with the accessories shown? I placed the order earlier today. Any guidance would be helpful.,en,True
CONV-00154,chat,Could you help me? Has the courier scanned ORD-104902 yet? I’m trying to sort this out before the end of the day. I'd appreciate your help.,en,True
CONV-00155,web_form,Please advise: Can you cancel ORD-101860 for me? I’m trying to sort this out before the end of the day. Thanks.,en,True
CONV-00156,chat,I need some help. I placed ORD-100008 recently. What is happening with it? This is my first time dealing with this issue.,en,True
CONV-00157,chat,Quick question: I keep getting rejected when I try to sign in. I’m trying to sort this out before the end of the day. I'd appreciate your help.,en,True
CONV-00158,email,"Hello, I'm locked out of my account and need access. This is my first time dealing with this issue. Please let me know.",en,True
CONV-00159,chat,I’m contacting support because How do I change the address attached to my order? Please let me know.,en,True
CONV-00160,chat,"Hello, Would you mind checking the latest status of ORD-100144?",en,True
CONV-00161,chat,"My delivery arrived, but the item inside is damaged.",en,True
CONV-00162,mobile_app,"Hi, Where can I request a password reset? I placed the order earlier today. Any guidance would be helpful.",en,True
CONV-00163,mobile_app,I’m contacting support because Could you explain the return process for this purchase? I haven't changed anything on my account.,en,True
CONV-00164,chat,"I wanted to check whether The item was returned, but I haven't received the refund. I haven't changed anything on my account. Can you check?",en,True
CONV-00165,mobile_app,Quick question: Do you have an update on ORD-100151? I want to know where it stands. I’m trying to sort this out before the end of the day. Thanks.,en,True
CONV-00166,mobile_app,Please advise: I entered the wrong delivery address. Can it be corrected? I placed the order earlier today. I'd appreciate your help.,en,True
CONV-00167,chat,Could you tell me the current status of my refund?,en,True
CONV-00168,web_form,I’m contacting support because I see two charges for the same purchase. Can you check?,en,True
CONV-00169,chat,I’m contacting support because Where can I request a password reset? This is my first time dealing with this issue. Can you check?,en,True
CONV-00170,email,"Could you help me? My delivery arrived, but the item inside is damaged. I noticed this while reviewing my recent activity. I'd appreciate your help.",en,True
CONV-00171,chat,Please advise: I received a security alert for an unfamiliar sign-in. I placed the order earlier today. Any guidance would be helpful.,en,True
CONV-00172,email,I wanted to check whether Please stop ORD-101807 before it is dispatched. This is my first time dealing with this issue. Thank you.,en,True
CONV-00173,chat,"I wanted to check whether The box arrived, but adapter wasn't inside. Thank you.",en,True
CONV-00174,mobile_app,Just checking — I can't recall my password and need to change it. I noticed this while reviewing my recent activity. Any guidance would be helpful.,en,True
CONV-00175,web_form,Please advise: My parcel is 1 days late. Can you investigate? I placed the order earlier today. I'd appreciate your help.,en,True
CONV-00176,mobile_app,Something about my account activity looks suspicious. This is my first time dealing with this issue. Thank you.,en,True
CONV-00177,web_form,I wanted to check whether I have a question about the charge on my recurring plan. I haven't changed anything on my account. Thank you.,en,True
CONV-00178,web_form,"Hi, I think someone may have accessed my account. I placed the order earlier today. I’d like to resolve this today.",en,True
CONV-00179,email,I wanted to check whether The promised delivery window is over for ORD-100279. I haven't changed anything on my account. Can you check?,en,True
CONV-00180,email,Just checking — It looks like I was billed twice for ORD-101741. I’m trying to sort this out before the end of the day. Any guidance would be helpful.,en,True
CONV-00181,chat,Could you explain the available options for this product? I haven't changed anything on my account. Thank you.,en,True
CONV-00182,chat,Just checking — The login page won't let me access my account. I placed the order earlier today. I'd appreciate your help.,en,True
CONV-00183,mobile_app,I no longer want this order. Is cancellation still possible? I haven't changed anything on my account.,en,True
CONV-00184,chat,I’m checking on ORD-100100. Could you tell me its current status? I haven't changed anything on my account. Can you check?,en,True
CONV-00185,web_form,Quick question: I keep getting rejected when I try to sign in. I’m trying to sort this out before the end of the day. Any guidance would be helpful.,en,True
CONV-00186,web_form,I need some help. Can I change the shipping address for ORD-103570? This is my first time dealing with this issue.,en,True
CONV-00187,chat,I’m contacting support because How do I change the address attached to my order? This is my first time dealing with this issue. Thank you.,en,True
CONV-00188,email,Please advise: I entered the wrong delivery address. Can it be corrected? I noticed this while reviewing my recent activity. Any guidance would be helpful.,en,True
CONV-00189,web_form,"Hello, When should ORD-100530 arrive? I haven't changed anything on my account. Can you check?",en,True
CONV-00190,chat,Could you help me? I no longer want this order. Is cancellation still possible? I noticed this while reviewing my recent activity. I’d like to resolve this today.,en,True
CONV-00191,email,Could you help me? What is the estimated delivery date for my package? I placed the order earlier today. Any guidance would be helpful.,en,True
CONV-00192,chat,Please advise: Could you help me end my recurring plan? I placed the order earlier today. I'd appreciate your help.,en,True
CONV-00193,web_form,Please advise: Could you help me end my recurring plan? I placed the order earlier today. Any guidance would be helpful.,en,True
CONV-00194,web_form,I’m contacting support because I need the specifications before I decide whether to buy it. I haven't changed anything on my account. Can you check?,en,True
CONV-00195,web_form,"Hello, The product has a crack that wasn't shown in the listing. I haven't changed anything on my account. Thank you.",en,True
CONV-00196,chat,"Hello, I'm still waiting for the money from my return. Can you check? This is my first time dealing with this issue. Can you check?",en,True
CONV-00197,mobile_app,Please help me arrange a return. I haven't changed anything on my account. Can you check?,en,True
CONV-00198,mobile_app,I’m contacting support because I can't sign in to my account. This is my first time dealing with this issue. Can you check?,en,True
CONV-00199,mobile_app,"Hello, Could you help me end my recurring plan? I haven't changed anything on my account.",en,True
CONV-00200,mobile_app,Why is the coupon being rejected at checkout? Thank you.,en,True
CONV-00201,email,I wanted to check whether Please stop my recurring membership. Please let me know.,en,True
CONV-00202,web_form,Could you help me? Please help me arrange a return. I placed the order earlier today. Any guidance would be helpful.,en,True
CONV-00203,email,"Hello, I'm locked out of my account and need access. Please let me know.",en,True
CONV-00204,web_form,"Hi, Where should I enter my promo code? I’m trying to sort this out before the end of the day. I'd appreciate your help.",en,True
CONV-00205,email,I wanted to check whether I noticed a login I don't recognize. This is my first time dealing with this issue.,en,True
CONV-00206,web_form,"My delivery arrived, but the item inside is damaged. Thank you.",en,True
CONV-00207,mobile_app,I was sent the wrong model. This is my first time dealing with this issue. Thank you.,en,True
CONV-00208,mobile_app,I wanted to check whether I noticed a login I don't recognize. Thank you.,en,True
CONV-00209,email,"Hello, Could you help me end my recurring plan? I haven't changed anything on my account. Please let me know.",en,True
CONV-00210,email,I’m contacting support because Could you explain the return process for this purchase? This is my first time dealing with this issue. Please let me know.,en,True
CONV-00211,email,Please advise: I forgot my password. How can I reset it? I’m trying to sort this out before the end of the day. I'd appreciate your help.,en,True
CONV-00212,email,Please help me arrange a return. Please let me know.,en,True
CONV-00213,email,Quick question: I need to redirect this package to another address. I’m trying to sort this out before the end of the day. Any guidance would be helpful.,en,True
CONV-00214,email,I wanted to check whether The delivered item doesn't match my order. This is my first time dealing with this issue.,en,True
CONV-00215,chat,I need some help. Can you explain the latest recurring charge? Can you check?,en,True
CONV-00216,chat,Just checking — The item I received isn't the one I ordered. I noticed this while reviewing my recent activity. Thanks.,en,True
CONV-00217,chat,Quick question: I want to track the package that was just dispatched. I noticed this while reviewing my recent activity. I'd appreciate your help.,en,True
CONV-00218,email,Just checking — I placed ORD-100033 recently. What is happening with it? I noticed this while reviewing my recent activity. I’d like to resolve this today.,en,True
CONV-00219,mobile_app,"Hello, Could you help me end my recurring plan?",en,True
CONV-00220,chat,I need some help. Has the refund for ORD-101020 been issued yet? I haven't changed anything on my account.,en,True
CONV-00221,mobile_app,Please advise: Why are there duplicate transactions for one order? I noticed this while reviewing my recent activity. I'd appreciate your help.,en,True
CONV-00222,email,"Hi, Roughly how long will delivery take? I noticed this while reviewing my recent activity. Thanks.",en,True
CONV-00223,web_form,I need some help. What exactly is included with this item? I haven't changed anything on my account.,en,True
CONV-00224,chat,Could you help me? Something about my account activity looks suspicious. I placed the order earlier today. Any guidance would be helpful.,en,True
CONV-00225,chat,I’m contacting support because I see two charges for the same purchase. Thank you.,en,True
CONV-00226,mobile_app,Please advise: I forgot my password. How can I reset it? I noticed this while reviewing my recent activity. Any guidance would be helpful.,en,True
CONV-00227,email,"Please advise: I received the package, but one of the products is absent. I placed the order earlier today. Any guidance would be helpful.",en,True
CONV-00228,mobile_app,"Hi, My multi-item order is incomplete. I placed the order earlier today. I'd appreciate your help.",en,True
CONV-00229,mobile_app,"Hello, My parcel is 6 days late. Can you investigate? I haven't changed anything on my account. Please let me know.",en,True
CONV-00230,email,I’m contacting support because Something different was packed instead of what I purchased. This is my first time dealing with this issue.,en,True
CONV-00231,email,"Hi, Roughly how long will delivery take? I’m trying to sort this out before the end of the day. Thanks.",en,True
CONV-00232,chat,Please advise: Could you help me end my recurring plan? I noticed this while reviewing my recent activity. I’d like to resolve this today.,en,True
CONV-00233,email,My payment is being declined at checkout.,en,True
CONV-00234,chat,I wanted to check whether Can you tell me more about this product's features? This is my first time dealing with this issue. Thank you.,en,True
CONV-00235,web_form,I’m checking on ORD-100230. Could you tell me its current status? This is my first time dealing with this issue. Please let me know.,en,True
CONV-00236,web_form,"Hi, I think someone may have accessed my account. I’m trying to sort this out before the end of the day. I'd appreciate your help.",en,True
CONV-00237,web_form,"Hello, I forgot my password. How can I reset it? This is my first time dealing with this issue. Thank you.",en,True
CONV-00238,mobile_app,Could you help me? What is the estimated delivery date for my package? I noticed this while reviewing my recent activity. I'd appreciate your help.,en,True
CONV-00239,chat,Quick question: I keep getting rejected when I try to sign in. I placed the order earlier today. I’d like to resolve this today.,en,True
CONV-00240,email,I wanted to check whether I want to track the package that was just dispatched. I haven't changed anything on my account. Please let me know.,en,True
CONV-00241,mobile_app,Please help me arrange a return.,en,True
CONV-00242,email,"Hi, Roughly how long will delivery take? I placed the order earlier today. Any guidance would be helpful.",en,True
CONV-00243,chat,"Hello, I don't recognize the amount billed for my membership. I haven't changed anything on my account. Can you check?",en,True
CONV-00244,email,Please advise: I don't recognize the amount billed for my membership. I’m trying to sort this out before the end of the day. I'd appreciate your help.,en,True
CONV-00245,mobile_app,"I wanted to check whether I have tried several times, but the transaction won't go through. Thank you.",en,True
CONV-00246,email,I no longer want this order. Is cancellation still possible? This is my first time dealing with this issue. Thank you.,en,True
CONV-00247,web_form,"Hello, The product has a crack that wasn't shown in the listing. This is my first time dealing with this issue. Thank you.",en,True
CONV-00248,mobile_app,I’m contacting support because Checkout keeps rejecting my payment. Thank you.,en,True
CONV-00249,chat,Quick question: Please stop ORD-101782 before it is dispatched. I’m trying to sort this out before the end of the day. I’d like to resolve this today.,en,True
CONV-00250,mobile_app,Quick question: Can you tell me more about this product's features? I placed the order earlier today. I'd appreciate your help.,en,True
CONV-00251,email,"Hi, I need the specifications before I decide whether to buy it. I noticed this while reviewing my recent activity. Thanks.",en,True
CONV-00252,web_form,My subscription payment was higher than I expected. Please let me know.,en,True
CONV-00253,chat,"Hello, Why are there duplicate transactions for one order? This is my first time dealing with this issue. Thank you.",en,True
CONV-00254,email,I need some help. Why does the payment fail whenever I try to complete the order? Can you check?,en,True
CONV-00255,email,I need some help. The item I received isn't the one I ordered. I haven't changed anything on my account.,en,True
CONV-00256,mobile_app,I need some help. I changed my mind and would like to send the item back. I haven't changed anything on my account. Can you check?,en,True
CONV-00257,email,Just checking — Can I change the shipping address for ORD-103525? I placed the order earlier today. Any guidance would be helpful.,en,True
CONV-00258,chat,I’m contacting support because I opened the package and found the product broken. This is my first time dealing with this issue.,en,True
CONV-00259,chat,Just checking — The delivery date for ORD-100426 has passed and I'm still waiting. I’m trying to sort this out before the end of the day. Thanks.,en,True
CONV-00260,web_form,What is the estimated delivery date for my package? I haven't changed anything on my account. Can you check?,en,True
